INSERT INTO tb_vendas_itens 
(vite_quantidade, vite_valor_parcial) VALUES 
('56260', '5.00'),
('84628', '9.00'),
('59917', '41.00'),
('83394', '15.00'),
('18824', '15.00'),
('75852', '6.00'),
('17604', '45.00'),
('28224', '2.00'),
('29819', '17.00'),
('13572', '33.00'),
('21449', '41.00'),
('31233', '8.00'),
('38798', '30.00'),
('12700', '24.00'),
('88302', '38.00'),
('53456', '31.00'),
('32638', '2.00'),
('38603', '29.00'),
('77155', '49.00'),
('41751', '8.00'),
('57242', '45.00'),
('30254', '40.00'),
('64725', '49.00'),
('74528', '32.00'),
('19746', '43.00'),
('69628', '44.00'),
('11703', '42.00'),
('32555', '45.00'),
('20465', '14.00'),
('94025', '38.00'),
('30200', '20.00'),
('57229', '48.00'),
('65799', '15.00'),
('37934', '35.00'),
('40130', '26.00'),
('23633', '11.00'),
('82208', '46.00'),
('98913', '28.00'),
('91615', '26.00'),
('59451', '42.00'),
('55493', '40.00'),
('41801', '19.00'),
('64989', '21.00'),
('22504', '19.00'),
('14569', '6.00'),
('94784', '11.00'),
('38655', '8.00'),
('86443', '35.00'),
('17132', '20.00'),
('67292', '5.00'),
('86843', '4.00'),
('37340', '50.00'),
('63058', '19.00'),
('21265', '25.00'),
('70673', '18.00'),
('67604', '36.00'),
('66635', '14.00'),
('83200', '5.00'),
('67722', '14.00'),
('57157', '20.00'),
('29559', '36.00'),
('14699', '3.00'),
('59097', '39.00'),
('75572', '44.00'),
('54667', '14.00'),
('42609', '23.00'),
('53250', '1.00'),
('70076', '44.00'),
('32232', '26.00'),
('22955', '10.00'),
('48412', '32.00'),
('19513', '14.00'),
('55429', '14.00'),
('98450', '33.00'),
('91417', '12.00'),
('63727', '44.00'),
('85934', '1.00'),
('17296', '14.00'),
('62239', '15.00'),
('63593', '3.00'),
('83846', '6.00'),
('83145', '27.00'),
('20068', '30.00'),
('14294', '29.00'),
('12093', '4.00'),
('51021', '44.00'),
('21900', '20.00'),
('82616', '31.00'),
('45876', '15.00'),
('26543', '37.00'),
('64681', '31.00'),
('41727', '14.00'),
('56642', '6.00'),
('55759', '1.00'),
('29019', '2.00'),
('70760', '11.00'),
('67102', '29.00'),
('13810', '28.00'),
('38735', '35.00'),
('33727', '30.00'),
('54572', '5.00'),
('76229', '21.00'),
('92704', '2.00'),
('56262', '44.00'),
('19103', '47.00'),
('96767', '36.00'),
('60009', '21.00'),
('33596', '34.00'),
('14334', '24.00'),
('20303', '19.00'),
('20957', '14.00'),
('15283', '17.00'),
('48101', '16.00'),
('53398', '21.00'),
('88688', '23.00'),
('44206', '38.00'),
('80724', '50.00'),
('86805', '47.00'),
('57463', '37.00'),
('98701', '28.00'),
('99342', '5.00'),
('46579', '37.00'),
('35550', '18.00'),
('56215', '12.00'),
('72735', '46.00'),
('74046', '31.00'),
('46713', '43.00'),
('48306', '33.00'),
('21388', '9.00'),
('40038', '31.00'),
('30571', '40.00'),
('20590', '31.00'),
('18979', '16.00'),
('72353', '4.00'),
('72407', '36.00'),
('15707', '14.00'),
('34668', '10.00'),
('28675', '36.00'),
('76719', '32.00'),
('53482', '42.00'),
('95450', '3.00'),
('77174', '15.00'),
('22383', '16.00'),
('36518', '30.00'),
('56806', '16.00'),
('35491', '30.00'),
('51054', '38.00'),
('25175', '28.00'),
('49205', '1.00'),
('97603', '45.00'),('55344', '49.00'),
('42355', '22.00'),
('11817', '39.00'),
('32334', '11.00'),
('94291', '17.00'),
('22011', '20.00'),
('82555', '38.00'),
('94226', '14.00'),
('87851', '16.00'),
('47687', '40.00'),
('78142', '43.00'),
('31267', '48.00'),
('63328', '4.00'),
('26205', '11.00'),
('89056', '19.00'),
('70929', '4.00'),
('87649', '11.00'),
('51903', '49.00'),
('54805', '26.00'),
('18382', '27.00'),
('24116', '41.00'),
('68791', '2.00'),
('10529', '10.00'),
('46488', '17.00'),
('13255', '47.00'),
('67544', '23.00'),
('91992', '32.00'),
('61930', '32.00'),
('64322', '2.00'),
('49153', '45.00'),
('93582', '50.00'),
('38296', '17.00'),
('13490', '39.00'),
('47075', '2.00'),
('59859', '6.00'),
('27054', '47.00'),
('17219', '23.00'),
('78509', '9.00'),
('94488', '10.00'),
('16093', '5.00'),
('12516', '22.00'),
('87555', '49.00'),
('32448', '43.00'),
('66872', '19.00'),
('75408', '36.00'),
('87741', '40.00'),
('32778', '23.00'),
('28118', '17.00'),
('17975', '32.00'),
('13861', '9.00'),
('86884', '49.00'),
('62017', '27.00'),
('77405', '25.00'),
('72376', '44.00'),
('48193', '22.00'),
('42488', '34.00'),
('12012', '8.00'),
('51795', '34.00'),
('30076', '29.00'),
('66724', '42.00'),
('86307', '24.00'),
('88204', '21.00'),
('69529', '8.00'),
('52032', '19.00'),
('51527', '22.00'),
('97234', '14.00'),
('36219', '8.00'),
('47773', '46.00'),
('48296', '23.00'),
('10922', '34.00'),
('75979', '9.00'),
('10674', '36.00'),
('31280', '10.00'),
('40912', '26.00'),
('81787', '16.00'),
('57971', '49.00'),
('56963', '42.00'),
('26120', '13.00'),
('73348', '15.00'),
('19286', '25.00'),
('99278', '26.00'),
('89501', '6.00'),
('22970', '7.00'),
('69394', '2.00'),
('77579', '3.00'),
('82805', '3.00'),
('41148', '11.00'),
('80154', '6.00'),
('13082', '8.00'),
('18117', '32.00'),
('37273', '37.00'),
('67284', '4.00'),
('64857', '39.00'),
('63815', '36.00'),
('32335', '20.00'),
('40672', '38.00'),
('63883', '14.00'),
('25980', '43.00'),
('83723', '4.00'),
('96637', '33.00'),
('85417', '20.00'),
('13200', '2.00'),
('85085', '28.00'),
('83621', '14.00'),
('78591', '18.00'),
('94155', '23.00'),
('36889', '44.00'),
('67400', '3.00'),
('54759', '49.00'),
('34272', '15.00'),
('76026', '39.00'),
('31307', '31.00'),
('18333', '34.00'),
('93349', '14.00'),
('24593', '32.00'),
('70086', '30.00'),
('88753', '22.00'),
('32106', '30.00'),
('26442', '29.00'),
('95656', '43.00'),
('97729', '16.00'),
('35293', '28.00'),
('72059', '5.00'),
('15794', '2.00'),
('69502', '21.00'),
('26662', '17.00'),
('41615', '40.00'),
('20627', '30.00'),
('27746', '19.00'),
('97717', '36.00'),
('20985', '18.00'),
('90183', '42.00'),
('22196', '33.00'),
('47068', '32.00'),
('81366', '41.00'),
('10369', '37.00'),
('77687', '47.00'),
('62234', '37.00'),
('98631', '31.00'),
('94226', '20.00'),
('27614', '12.00'),
('59249', '1.00'),
('37511', '27.00'),
('92541', '37.00'),
('25505', '6.00'),
('98601', '16.00'),
('25115', '31.00'),
('29122', '24.00'),
('81152', '42.00'),
('14270', '35.00'),
('63049', '45.00'),
('39719', '45.00'),
('68239', '24.00'),
('83898', '26.00'),
('26176', '41.00'),
('59717', '30.00'),
('51281', '2.00'),
('99166', '44.00'),
('26174', '30.00'),
('18328', '41.00'),
('74243', '32.00'),
('56549', '42.00'),
('92996', '43.00'),
('90105', '37.00'),
('26335', '15.00'),
('97366', '4.00'),
('59640', '1.00'),
('11174', '37.00'),
('75827', '42.00'),
('87751', '14.00'),
('38511', '36.00'),
('78354', '44.00'),
('11119', '35.00'),
('54496', '34.00'),
('69556', '36.00'),
('42881', '35.00'),
('81061', '46.00'),
('95852', '15.00'),
('78615', '38.00'),
('21435', '38.00'),
('22871', '46.00'),
('78002', '36.00'),
('16048', '6.00'),
('48557', '26.00'),
('82318', '42.00'),
('16712', '31.00'),
('51918', '44.00'),
('88485', '28.00'),
('32675', '6.00'),
('18261', '23.00'),
('11569', '28.00'),
('15292', '27.00'),
('17366', '12.00'),
('21534', '21.00'),
('57108', '9.00'),
('61124', '24.00'),
('76382', '18.00'),
('71376', '20.00'),
('55837', '22.00'),
('37622', '2.00'),
('57051', '26.00'),
('44701', '49.00'),
('15057', '22.00'),
('16984', '35.00'),
('40351', '47.00'),
('74318', '15.00'),
('45678', '14.00'),
('30504', '1.00'),
('32439', '13.00'),
('84773', '16.00'),
('24099', '12.00'),
('54608', '9.00'),
('28141', '19.00'),
('48454', '29.00'),
('84458', '21.00'),
('45904', '33.00'),
('13199', '49.00'),
('74097', '40.00'),
('18228', '6.00'),
('76834', '34.00'),
('20776', '4.00'),
('45512', '27.00'),
('46757', '41.00'),
('53982', '43.00'),
('76401', '32.00'),
('64008', '47.00'),
('51380', '21.00'),
('37088', '6.00'),
('55132', '47.00'),
('65636', '20.00'),
('28622', '19.00'),
('28448', '28.00'),
('67735', '15.00'),
('75835', '13.00'),
('80108', '8.00'),
('52077', '1.00'),
('18364', '18.00'),
('28632', '1.00'),
('53253', '1.00'),
('85535', '36.00'),
('41729', '17.00'),
('34936', '17.00'),
('87242', '22.00'),
('49517', '19.00'),
('73555', '27.00'),
('15806', '19.00'),
('72964', '3.00'),
('23570', '10.00'),
('72433', '45.00'),
('82943', '13.00'),
('83976', '15.00'),
('69708', '14.00'),
('88272', '48.00'),
('85513', '20.00'),
('52727', '47.00'),
('65115', '36.00'),
('94902', '17.00'),
('51423', '29.00'),
('24766', '1.00'),
('45158', '6.00'),
('94180', '38.00'),
('55555', '21.00'),
('87904', '49.00'),
('30645', '26.00'),
('32051', '35.00'),
('75386', '22.00'),
('51846', '1.00'),
('90872', '15.00'),
('14835', '44.00'),
('89368', '10.00'),
('75273', '17.00'),
('29032', '19.00'),
('65925', '27.00'),
('86156', '28.00'),
('80783', '14.00'),
('24053', '36.00'),
('22093', '36.00'),
('98357', '10.00'),
('99980', '20.00'),
('52777', '38.00'),
('86287', '25.00'),
('85131', '38.00'),
('24815', '47.00'),
('15853', '42.00'),
('68291', '41.00'),
('57619', '17.00'),
('67302', '20.00'),
('67455', '32.00'),
('81860', '6.00'),
('51512', '18.00'),
('49778', '42.00'),
('49169', '38.00'),
('86814', '26.00'),
('71299', '38.00'),
('35605', '16.00'),
('44441', '36.00'),
('72762', '44.00'),
('91482', '27.00'),
('76954', '36.00'),
('36427', '34.00'),
('94844', '16.00'),
('87418', '28.00'),
('85922', '6.00'),
('37356', '37.00'),
('68165', '43.00'),
('13922', '28.00'),
('91309', '44.00'),
('92647', '44.00'),
('55736', '43.00'),
('89503', '6.00'),
('27334', '28.00'),
('50769', '45.00'),
('78168', '25.00'),
('70088', '10.00'),
('77199', '46.00'),
('73310', '39.00'),
('67066', '3.00'),
('53634', '14.00'),
('87940', '17.00'),
('41685', '9.00'),
('68399', '10.00'),
('20031', '5.00'),
('13505', '22.00'),
('41932', '5.00'),
('70907', '16.00'),
('26574', '28.00'),
('25530', '17.00'),
('94229', '41.00'),
('11064', '45.00'),
('75108', '46.00'),
('97466', '40.00'),
('15548', '47.00'),
('83057', '15.00'),
('53458', '45.00'),
('74422', '18.00'),
('52083', '13.00'),
('35466', '31.00'),
('24567', '7.00'),
('97719', '31.00'),
('74899', '50.00'),
('89745', '41.00'),
('30464', '48.00'),
('20605', '40.00'),
('54653', '38.00'),
('49976', '1.00'),
('11291', '29.00'),
('18638', '10.00'),
('30718', '43.00'),
('86867', '7.00'),
('79245', '48.00'),
('81941', '38.00'),
('90113', '10.00'),
('38542', '40.00'),
('41671', '50.00'),
('95437', '46.00'),
('69179', '14.00'),
('95508', '17.00'),
('51234', '21.00'),
('22539', '9.00'),
('76838', '49.00'),
('79719', '1.00'),
('60164', '31.00'),
('55166', '22.00'),
('92744', '4.00'),
('91799', '6.00'),
('63618', '44.00'),
('75151', '21.00'),
('59082', '32.00'),
('77300', '19.00'),
('12516', '46.00'),
('59465', '12.00'),
('81877', '35.00'),
('19121', '19.00'),
('81623', '10.00'),
('48754', '4.00'),
('31278', '42.00'),
('34821', '19.00'),
('81072', '49.00'),
('97127', '34.00'),
('55494', '33.00'),
('90151', '10.00'),
('32435', '46.00'),
('65197', '16.00'),
('83239', '41.00'),
('30567', '39.00'),
('48263', '16.00'),
('74543', '4.00'),
('36023', '27.00'),
('13411', '24.00'),
('75536', '4.00'),
('11391', '14.00'),
('46754', '40.00'),
('64844', '6.00'),
('71854', '30.00'),
('14471', '32.00'),
('66634', '20.00'),
('30079', '22.00'),
('56821', '16.00'),
('67969', '25.00'),
('16247', '30.00'),
('70581', '5.00'),
('53156', '41.00'),
('13647', '12.00'),
('10689', '43.00'),
('87795', '33.00'),
('65931', '26.00'),
('89088', '42.00'),
('72757', '24.00'),
('65687', '16.00'),
('43024', '18.00'),
('83966', '5.00'),
('49173', '34.00'),
('98520', '2.00'),
('91982', '17.00'),
('60541', '7.00'),
('57202', '40.00'),
('73660', '21.00'),
('48728', '10.00'),
('60626', '46.00'),
('27705', '48.00'),
('13703', '46.00'),
('31948', '43.00'),
('52251', '37.00'),
('21840', '3.00'),
('61506', '31.00'),
('60656', '38.00'),
('58573', '24.00'),
('19856', '48.00'),
('95241', '35.00'),
('84264', '16.00'),
('99587', '16.00'),
('38996', '8.00'),
('54182', '3.00'),
('17673', '12.00'),
('49731', '44.00'),
('32455', '16.00'),
('80352', '45.00'),
('33439', '9.00'),
('91358', '4.00'),
('51662', '23.00'),
('85348', '41.00'),
('79730', '1.00'),
('47572', '2.00'),
('36135', '29.00'),
('78670', '36.00'),
('29602', '47.00'),
('90357', '46.00'),
('57697', '42.00'),
('90188', '19.00'),
('10601', '5.00'),
('94645', '6.00'),
('94091', '8.00'),
('71456', '7.00'),
('34834', '26.00'),
('12962', '12.00'),
('84769', '20.00'),
('48556', '40.00'),
('94357', '33.00'),
('72825', '32.00'),
('43762', '14.00'),
('15914', '14.00'),
('97489', '37.00'),
('98895', '50.00'),
('24810', '3.00'),
('56551', '35.00'),
('90110', '48.00'),
('43392', '5.00'),
('26471', '27.00'),
('33624', '1.00'),
('77494', '45.00'),
('34792', '49.00'),
('46709', '23.00'),
('52950', '36.00'),
('58277', '14.00'),
('68351', '50.00'),
('63535', '13.00'),
('17039', '6.00'),
('76988', '13.00'),
('75509', '23.00'),
('16156', '23.00'),
('71396', '5.00'),
('83458', '50.00'),
('96359', '35.00'),
('38657', '35.00'),
('43532', '11.00'),
('57884', '11.00'),
('49875', '9.00'),
('94872', '32.00'),
('65868', '38.00'),
('68757', '41.00'),
('47938', '9.00'),
('50368', '15.00'),
('71838', '35.00'),
('33169', '43.00'),
('49124', '39.00'),
('15529', '8.00'),
('68711', '29.00'),
('63026', '31.00'),
('64768', '43.00'),
('66576', '27.00'),('36941', '28.00'),
('41758', '29.00'),
('48533', '1.00'),
('59339', '11.00'),
('94270', '43.00'),
('52158', '13.00'),
('56428', '2.00'),
('38124', '12.00'),
('71950', '33.00'),
('63180', '48.00'),
('80662', '10.00'),
('59078', '26.00'),
('14085', '45.00'),
('42955', '30.00'),
('99549', '4.00'),
('83332', '3.00'),
('96165', '38.00'),
('58979', '2.00'),
('17004', '16.00'),
('74754', '50.00'),
('43260', '46.00'),
('16402', '6.00'),
('62204', '41.00'),
('21085', '18.00'),
('47469', '10.00'),
('29305', '47.00'),
('76891', '46.00'),
('25488', '16.00'),
('72849', '23.00'),
('48411', '42.00'),
('68746', '29.00'),
('48304', '28.00'),
('69656', '46.00'),
('78605', '25.00'),
('85764', '4.00'),
('19585', '24.00'),
('17988', '15.00'),
('77772', '16.00'),
('44916', '10.00'),
('47541', '19.00'),
('92898', '10.00'),
('87775', '41.00'),
('86200', '45.00'),
('46365', '39.00'),
('54474', '29.00'),
('69647', '1.00'),
('62617', '47.00'),
('66528', '38.00'),
('70985', '5.00'),
('84912', '24.00'),
('92602', '22.00'),
('89987', '24.00'),
('14422', '2.00'),
('95980', '19.00'),
('49712', '14.00'),
('21291', '39.00'),
('13831', '26.00'),
('77448', '42.00'),
('78304', '22.00'),
('71568', '8.00'),
('54341', '10.00'),
('48825', '12.00'),
('10523', '8.00'),
('37641', '5.00'),
('90530', '4.00'),
('46438', '40.00'),
('12123', '41.00'),
('61922', '10.00'),
('94691', '39.00'),
('72697', '41.00'),
('87289', '18.00'),
('40396', '30.00'),
('84980', '7.00'),
('30415', '38.00'),
('16739', '34.00'),
('64908', '33.00'),
('22656', '11.00'),
('51904', '37.00'),
('38888', '23.00'),
('37009', '21.00'),
('67322', '33.00'),
('14889', '14.00'),
('94148', '21.00'),
('64244', '13.00'),
('29169', '50.00'),
('37118', '7.00'),
('81733', '19.00'),
('66423', '31.00'),
('80901', '12.00'),
('94969', '19.00'),
('59761', '14.00'),
('11047', '27.00'),
('87513', '30.00'),
('93101', '5.00'),
('99118', '3.00'),
('70054', '22.00'),
('97801', '20.00'),
('73953', '12.00'),
('79523', '42.00'),
('20066', '26.00'),
('14582', '28.00'),
('49078', '27.00'),
('73464', '37.00'),
('88417', '24.00'),
('33600', '2.00'),
('17089', '14.00'),
('64334', '43.00'),
('74049', '22.00'),
('79263', '15.00'),
('28363', '39.00'),
('59189', '42.00'),
('31214', '3.00'),
('50009', '22.00'),
('46620', '15.00'),
('89205', '3.00'),
('86514', '38.00'),
('55635', '50.00'),
('68339', '26.00'),
('56244', '23.00'),
('71931', '31.00'),
('51691', '40.00'),
('74067', '1.00'),
('54033', '1.00'),
('94999', '10.00'),
('50952', '37.00'),
('20373', '20.00'),
('28821', '43.00'),
('68397', '14.00'),
('25008', '25.00'),
('12792', '17.00'),
('55223', '9.00'),
('88105', '23.00'),
('61755', '46.00'),
('45763', '27.00'),
('34758', '44.00'),
('44605', '45.00'),
('22128', '27.00'),
('84550', '35.00'),
('46031', '39.00'),
('53458', '5.00'),
('64100', '41.00'),
('83993', '13.00'),
('13912', '45.00'),
('81563', '25.00'),
('24726', '14.00'),
('88896', '24.00'),
('92037', '33.00'),
('53930', '25.00'),
('56326', '27.00'),
('77857', '2.00'),
('36466', '43.00'),
('51543', '48.00'),
('60699', '14.00'),
('18203', '20.00'),
('36860', '34.00'),
('58928', '23.00'),
('43491', '5.00'),
('30369', '22.00'),
('37931', '31.00'),
('46974', '14.00'),
('20780', '29.00'),
('36110', '5.00'),
('77119', '39.00'),
('28136', '46.00'),
('11836', '10.00'),
('34994', '27.00'),
('43095', '43.00'),
('59786', '14.00'),
('10530', '31.00'),
('28908', '39.00'),
('82798', '21.00'),
('68975', '29.00'),
('22347', '8.00'),
('94224', '32.00'),
('76413', '37.00'),
('48310', '20.00'),
('12909', '46.00'),
('95252', '26.00'),
('32719', '25.00'),
('32827', '9.00'),
('60414', '38.00'),
('84364', '13.00'),
('94426', '45.00'),
('65145', '48.00'),
('24101', '47.00'),
('14653', '4.00'),
('48294', '43.00'),
('38575', '4.00'),
('85523', '8.00'),
('69913', '8.00'),
('71283', '10.00'),
('50594', '6.00'),
('96315', '30.00'),
('68281', '42.00'),
('12162', '6.00'),
('91609', '26.00'),
('67744', '16.00'),
('21850', '16.00'),
('87302', '2.00'),
('70806', '9.00'),
('49765', '24.00'),
('19536', '42.00'),
('57493', '8.00'),
('81625', '34.00'),
('22426', '39.00'),
('41188', '32.00'),
('78849', '5.00'),
('64246', '42.00'),
('71071', '25.00'),
('60483', '30.00'),
('70980', '22.00'),
('40371', '46.00'),
('21407', '14.00'),
('36948', '3.00'),
('59727', '45.00'),
('48255', '25.00'),
('43849', '23.00'),
('72198', '42.00'),
('53434', '41.00'),
('64694', '17.00'),
('40011', '43.00'),
('11909', '41.00'),
('81892', '22.00'),
('63047', '38.00'),
('70919', '36.00'),
('51661', '46.00'),
('70287', '34.00'),
('82310', '35.00'),
('49660', '2.00'),
('55870', '45.00'),
('79090', '36.00'),
('26897', '30.00'),
('59307', '25.00'),
('92118', '45.00'),
('98274', '6.00'),
('96731', '47.00'),
('92377', '19.00'),
('14600', '32.00'),
('96312', '42.00'),
('58152', '36.00'),
('35035', '25.00'),
('29186', '15.00'),
('29082', '33.00'),
('41947', '40.00'),
('67889', '21.00'),
('22405', '30.00'),
('37631', '6.00'),
('53756', '35.00'),
('77981', '19.00'),
('73492', '15.00'),
('57361', '43.00'),
('31057', '40.00'),
('34850', '7.00'),
('99609', '5.00'),
('98470', '31.00'),
('63617', '32.00'),
('40456', '27.00'),
('74837', '22.00'),
('33028', '4.00'),
('77610', '39.00'),
('97880', '49.00'),
('87825', '31.00'),
('16868', '36.00'),
('56989', '39.00'),
('14006', '31.00'),
('57811', '7.00'),
('82088', '26.00'),
('92814', '36.00'),
('24725', '12.00'),
('97627', '27.00'),
('50594', '23.00'),
('64947', '36.00'),
('11891', '5.00'),
('81447', '21.00'),
('78911', '15.00'),
('57383', '22.00'),
('47415', '38.00'),
('33515', '26.00'),
('10279', '31.00'),
('63703', '36.00'),
('23206', '47.00'),
('97036', '11.00'),
('64276', '46.00'),
('89745', '19.00'),
('87061', '5.00'),
('48977', '18.00'),
('28031', '39.00'),
('12595', '11.00'),
('63087', '4.00'),
('78538', '28.00'),
('97093', '48.00'),
('58345', '33.00'),
('77496', '24.00'),
('50542', '45.00'),
('31855', '27.00'),
('26024', '7.00'),
('34743', '44.00'),
('34025', '6.00'),
('67218', '21.00'),
('68369', '50.00'),
('31503', '4.00'),
('72165', '35.00'),
('51483', '49.00'),
('61525', '26.00'),
('53976', '26.00'),
('27697', '19.00'),
('66235', '44.00'),
('81954', '36.00'),
('72339', '22.00'),
('56329', '49.00'),
('28282', '40.00'),
('77024', '12.00'),
('99635', '46.00'),
('96786', '46.00'),
('13707', '46.00'),
('61795', '50.00'),
('91675', '43.00'),
('23512', '44.00'),
('35173', '25.00'),
('32569', '6.00'),
('44219', '5.00'),
('69003', '44.00'),
('11669', '12.00'),
('47555', '20.00'),
('86879', '22.00'),
('97930', '11.00'),
('63808', '39.00'),
('79648', '41.00'),
('59564', '3.00'),
('84729', '9.00'),
('93561', '20.00'),
('16017', '20.00'),
('92422', '32.00'),
('30744', '21.00'),
('90101', '41.00'),
('54548', '21.00'),
('12603', '46.00'),
('39119', '14.00'),
('97153', '28.00'),
('35410', '32.00'),
('15025', '26.00'),
('77627', '50.00'),
('19799', '32.00'),
('76433', '25.00'),
('35088', '26.00'),
('31104', '24.00'),
('87989', '24.00'),
('74900', '17.00'),
('35240', '45.00'),
('61502', '29.00'),
('27176', '20.00'),
('37079', '25.00'),
('68043', '20.00'),
